threshold,f1,precision,recall
0.05,0.5255799173816333,0.36003482803656944,0.9729411764705882
0.06,0.5612947658402204,0.3967867575462512,0.9588235294117647
0.07,0.5628453038674033,0.39833822091886606,0.9588235294117647
0.08,0.5718844176564439,0.40928698299923877,0.9488235294117647
0.09,0.5718844176564439,0.40928698299923877,0.9488235294117647
0.1,0.6436303080766028,0.49806701030927836,0.9094117647058824
0.11,0.6436303080766028,0.49806701030927836,0.9094117647058824
0.12,0.6730683340777133,0.5424766018718502,0.8864705882352941
0.13,0.6861079219288174,0.5627118644067797,0.8788235294117647
0.14,0.6861079219288174,0.5627118644067797,0.8788235294117647
0.15,0.7443827650013217,0.6759481517042727,0.8282352941176471
0.16,0.7443827650013217,0.6759481517042727,0.8282352941176471
0.17,0.7443827650013217,0.6759481517042727,0.8282352941176471
0.18,0.7443827650013217,0.6759481517042727,0.8282352941176471
0.19,0.7537172208705055,0.6973486743371686,0.82
0.2,0.7537172208705055,0.6973486743371686,0.82
0.21,0.7537172208705055,0.6973486743371686,0.82
0.22,0.7539210383991347,0.6976976976976977,0.82
0.23,0.763931671800616,0.729021913415286,0.8023529411764706
0.24,0.7700595406861356,0.7432950191570882,0.7988235294117647
0.25,0.7882991556091676,0.8087871287128713,0.7688235294117647
0.26,0.7882991556091676,0.8087871287128713,0.7688235294117647
0.27,0.7882991556091676,0.8087871287128713,0.7688235294117647
0.28,0.7882991556091676,0.8087871287128713,0.7688235294117647
0.29,0.7882991556091676,0.8087871287128713,0.7688235294117647
0.3,0.7882991556091676,0.8087871287128713,0.7688235294117647
0.31,0.8070866141732284,0.9124629080118695,0.7235294117647059
0.32,0.8070866141732284,0.9124629080118695,0.7235294117647059
0.33,0.8070866141732284,0.9124629080118695,0.7235294117647059
0.34,0.8076290693850707,0.9157345264727815,0.7223529411764706
0.35,0.8076290693850707,0.9157345264727815,0.7223529411764706
0.36,0.8076290693850707,0.9157345264727815,0.7223529411764706
0.37,0.8076290693850707,0.9157345264727815,0.7223529411764706
0.38,0.8078947368421052,0.9164179104477612,0.7223529411764706
0.39,0.8061292471685543,0.9293394777265745,0.711764705882353
0.4,0.8061292471685543,0.9293394777265745,0.711764705882353
0.41,0.8061292471685543,0.9293394777265745,0.711764705882353
0.42,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.43,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.44,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.45,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.46,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.47,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.48,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.49,0.8091444405957742,0.9839932603201348,0.6870588235294117
0.5,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.51,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.52,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.53,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.54,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.55,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.56,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.57,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.58,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.59,0.8079470198675497,0.9914456800684346,0.6817647058823529
0.6,0.8075313807531381,0.9914383561643836,0.6811764705882353
0.61,0.8071278825995807,0.9939759036144579,0.6794117647058824
0.62,0.806993006993007,0.9948275862068966,0.6788235294117647
0.63,0.806993006993007,0.9948275862068966,0.6788235294117647
0.64,0.8060224089635855,0.995674740484429,0.6770588235294117
0.65,0.8054679284963197,0.9965307892454467,0.6758823529411765
0.66,0.8050490883590463,0.9965277777777778,0.6752941176470588
0.67,0.8054775280898876,0.9991289198606271,0.6747058823529412
0.68,0.8054775280898876,0.9991289198606271,0.6747058823529412
0.69,0.8054775280898876,0.9991289198606271,0.6747058823529412
0.7,0.8054775280898876,0.9991289198606271,0.6747058823529412
0.71,0.8054775280898876,0.9991289198606271,0.6747058823529412
0.72,0.8054775280898876,0.9991289198606271,0.6747058823529412
0.73,0.8054775280898876,0.9991289198606271,0.6747058823529412
0.74,0.8050579557428873,0.999128160418483,0.6741176470588235
0.75,0.8050579557428873,0.999128160418483,0.6741176470588235
0.76,0.8050579557428873,0.999128160418483,0.6741176470588235
0.77,0.8050579557428873,0.999128160418483,0.6741176470588235
0.78,0.8050579557428873,0.999128160418483,0.6741176470588235
0.79,0.8050579557428873,0.999128160418483,0.6741176470588235
0.8,0.8050579557428873,0.999128160418483,0.6741176470588235
0.81,0.8050579557428873,0.999128160418483,0.6741176470588235
0.82,0.8050579557428873,0.999128160418483,0.6741176470588235
0.83,0.8050579557428873,0.999128160418483,0.6741176470588235
0.84,0.8050579557428873,0.999128160418483,0.6741176470588235
0.85,0.8050579557428873,0.999128160418483,0.6741176470588235
0.86,0.8050579557428873,0.999128160418483,0.6741176470588235
0.87,0.8050579557428873,0.999128160418483,0.6741176470588235
0.88,0.8053408292340126,1.0,0.6741176470588235
0.89,0.8053408292340126,1.0,0.6741176470588235
0.9,0.8053408292340126,1.0,0.6741176470588235
0.91,0.8053408292340126,1.0,0.6741176470588235
0.92,0.8053408292340126,1.0,0.6741176470588235
0.93,0.8053408292340126,1.0,0.6741176470588235
0.94,0.8053408292340126,1.0,0.6741176470588235
0.95,0.8053408292340126,1.0,0.6741176470588235
